Price History: 106803,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
02/16/26,"911,79",,"-29,80","-3,17","1.195,64","1.346,10",,"911,79","911,79"
01/30/26,"941,60",,"-12,48","-1,31","1.234,36","1.392,93",,"941,60","941,60"
12/31/25,"954,08",,"-2,36","-0,25","1.250,41","1.412,34",,"954,08","954,08"
11/28/25,"956,44",,"-47,39","-4,72","1.253,05","1.415,53",,"956,44","956,44"
10/31/25,"1.003,84",,"63,06","6,70","1.314,32","1.489,64",,"1.003,84","1.003,84"
09/30/25,"940,77",,"65,10","7,43","1.231,39","1.389,33",,"940,77","940,77"
08/29/25,"875,67",,"1,81","0,21","1.145,64","1.285,62",,"875,67","875,67"
07/31/25,"873,86",,"36,06","4,30","1.142,54","1.281,87",,"873,86","873,86"
06/30/25,"837,80",,"69,33","9,02","1.095,04","1.224,42",,"837,80","837,80"
05/30/25,"768,47",,"72,65","10,44","1.004,02","1.114,34",,"768,47","768,47"
04/30/25,"695,82",,"10,82","1,58","908,20","998,45",,"695,82","695,82"
03/31/25,"685,00",,"-68,83","-9,13","893,68","980,89",,"685,00","685,00"
02/28/25,"753,83",,"-15,46","-2,01","982,89","1.088,78",,"753,83","753,83"
01/31/25,"769,28",,"-12,27","-1,57","1.002,27","1.112,22",,"769,28","769,28"
12/31/24,"781,55",,"7,42","0,96","1.017,96","1.131,20",,"781,55","781,55"
11/29/24,"774,14",,"38,52","5,24","1.007,89","1.119,02",,"774,14","774,14"
10/31/24,"735,62",,"-6,83","-0,92","957,06","1.057,54",,"735,62","735,62"
09/30/24,"742,45",,"14,81","2,04","965,59","1.067,86",,"742,45","742,45"
08/30/24,"727,64",,"8,11","1,13","945,80","1.043,93",,"727,64","727,64"
07/31/24,"719,54",,"-17,32","-2,35","934,54","1.030,30",,"719,54","719,54"
06/28/24,"736,86",,"60,08","8,88","956,70","1.057,10",,"736,86","736,86"
05/31/24,"676,78",,"52,54","8,42","878,41","962,41",,"676,78","676,78"
04/30/24,"624,24",,"-36,40","-5,51","809,25","878,76",,"624,24","624,24"
03/29/24,"660,64",,"11,20","1,72","856,11","935,45",,"660,64","660,64"
02/29/24,"649,44",,"38,00","6,21","841,16","917,37",,"649,44","649,44"
01/31/24,"611,44",,"25,01","4,27","791,16","856,89",,"611,44","611,44"
12/29/23,"586,43",,"22,20","3,93","758,51","817,40",,"586,43","586,43"
11/30/23,"564,23",,"65,84","13,21","729,52","782,34",,"564,23","564,23"
10/31/23,"498,39",,"-3,83","-0,76","643,67","678,51",,"498,39","498,39"
09/29/23,"502,22",,"-35,68","-6,63","648,34","684,16",,"502,22","502,22"
08/31/23,"537,90",,"-9,52","-1,74","694,00","739,38",,"537,90","537,90"
07/31/23,"547,42",,"13,48","2,52","705,49","753,27",,"547,42","547,42"
06/30/23,"533,94",,"30,74","6,11","687,84","731,92",,"533,94","533,94"
05/31/23,"503,20",,"38,99","8,40","648,00","683,74",,"503,20","503,20"
04/28/23,"464,21",,"-0,87","-0,19","596,85","621,88",,"464,21","464,21"
03/31/23,"465,08",,"41,11","9,70","597,71","622,92",,"465,08","465,08"
02/28/23,"423,97",,"1,07","0,25","544,45","558,50",,"423,97","423,97"
01/31/23,"422,90",,"37,78","9,81","542,34","555,95",,"422,90","422,90"
12/30/22,"385,12",,"-35,56","-8,45","493,64","497,04",,"385,12","385,12"
11/30/22,"420,68",,"21,97","5,51","538,92","551,81",,"420,68","420,68"
10/31/22,"398,71",,"28,21","7,61","509,98","516,81",,"398,71","398,71"
09/30/22,"370,50",,"-48,74","-11,63","473,66","472,88",,"370,50","370,50"
08/31/22,"419,24",,"-25,77","-5,79","535,58","547,77",,"419,24","419,24"
07/29/22,"445,01",,"51,61","13,12","567,75","586,68",,"445,01","445,01"
06/30/22,"393,40",,"-41,52","-9,55","501,67","506,76",,"393,40","393,40"
05/31/22,"434,92",,"-7,95","-1,79","554,30","570,42",,"434,92","434,92"
04/29/22,"442,87",,"-56,64","-11,34","563,40","581,43",,"442,87","442,87"
03/31/22,"499,51",,"15,36","3,17","635,28","668,35",,"499,51","499,51"
02/28/22,"484,16",,"-24,27","-4,77","615,34","644,24",,"484,16","484,16"
01/31/22,"508,42",,"-46,58","-8,39","645,49","680,71",,"508,42","508,42"
12/31/21,"555,01",,"13,63","2,52","704,38","751,94",,"555,01","555,01"
11/30/21,"541,37",,"14,94","2,84","686,78","730,65",,"541,37","541,37"
10/29/21,"526,43",,"36,92","7,54","667,18","706,94",,"526,43","526,43"
