Price History: MS129867,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
02/13/26,"1.427,48",,"97,55","7,34","3.997,35","351,90",,"1.427,48","1.427,48"
01/30/26,"1.329,93",,"43,19","3,36","3.720,19","320,57",,"1.329,93","1.329,93"
12/31/25,"1.286,74",,"-32,50","-2,46","3.590,90","305,95",,"1.286,74","1.286,74"
11/28/25,"1.319,24",,"10,77","0,82","3.673,59","315,30",,"1.319,24","1.319,24"
10/31/25,"1.308,47",,"12,05","0,93","3.631,82","310,58",,"1.308,47","1.308,47"
09/30/25,"1.296,42",,"20,05","1,57","3.591,55","306,02",,"1.296,42","1.296,42"
08/29/25,"1.276,37",,"22,42","1,79","3.527,97","298,83",,"1.276,37","1.276,37"
07/31/25,"1.253,95",,"14,46","1,17","3.456,37","290,74",,"1.253,95","1.253,95"
06/30/25,"1.239,49",,"3,30","0,27","3.406,12","285,06",,"1.239,49","1.239,49"
05/30/25,"1.236,19",,"21,03","1,73","3.386,93","282,89",,"1.236,19","1.236,19"
04/30/25,"1.215,16",,"-2,15","-0,18","3.313,95","274,64",,"1.215,16","1.215,16"
03/31/25,"1.217,32",,"20,39","1,70","3.304,74","273,60",,"1.217,32","1.217,32"
02/28/25,"1.196,93",,"40,01","3,46","3.241,01","266,39",,"1.196,93","1.196,93"
01/31/25,"1.156,92",,"27,40","2,43","3.123,14","253,07",,"1.156,92","1.156,92"
12/31/24,"1.129,52",,"-65,73","-5,50","3.040,92","243,77",,"1.129,52","1.129,52"
11/29/24,"1.195,25",,"38,21","3,30","3.211,74","263,09",,"1.195,25","1.195,25"
10/31/24,"1.157,04",,"-0,75","-0,07","3.098,02","250,23",,"1.157,04","1.157,04"
09/30/24,"1.157,80",,"37,48","3,35","3.093,18","249,68",,"1.157,80","1.157,80"
08/30/24,"1.120,32",,"41,21","3,82","2.985,85","237,55",,"1.120,32","1.120,32"
07/31/24,"1.079,11",,"49,40","4,80","2.866,21","224,02",,"1.079,11","1.079,11"
06/28/24,"1.029,71",,"-19,52","-1,86","2.726,68","208,25",,"1.029,71","1.029,71"
05/31/24,"1.049,22",,"51,16","5,13","2.765,91","212,69",,"1.049,22","1.049,22"
04/30/24,"998,06",,"-11,80","-1,17","2.616,65","195,81",,"998,06","998,06"
03/28/24,"1.009,86",,"41,46","4,28","2.637,56","198,18",,"1.009,86","1.009,86"
02/29/24,"968,40",,"-5,84","-0,60","2.521,20","185,02",,"968,40","968,40"
01/31/24,"974,24",,"3,93","0,40","2.529,12","185,92",,"974,24","974,24"
12/29/23,"970,32",,"12,00","1,25","2.510,86","183,85",,"970,32","970,32"
11/30/23,"958,32",,"49,88","5,49","2.473,18","179,59",,"958,32","958,32"
10/31/23,"908,44",,"5,68","0,63","2.335,19","163,99",,"908,44","908,44"
09/29/23,"902,76",,"-32,64","-3,49","2.314,01","161,60",,"902,76","902,76"
08/31/23,"935,40",,"-30,27","-3,13","2.390,53","170,25",,"935,40","935,40"
07/31/23,"965,67",,"-3,68","-0,38","2.459,49","178,04",,"965,67","965,67"
06/30/23,"969,35",,"20,86","2,20","2.459,58","178,05",,"969,35","969,35"
05/31/23,"948,49",,"-59,37","-5,89","2.395,88","170,85",,"948,49","948,49"
04/28/23,"1.007,85",,"19,46","1,97","2.535,49","186,64",,"1.007,85","1.007,85"
03/31/23,"988,39",,"23,75","2,46","2.475,24","179,82",,"988,39","988,39"
02/28/23,"964,64",,"-33,96","-3,40","2.407,20","172,13",,"964,64","964,64"
