Price History: 990100,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
02/28/06,"1.002,02",,,,"2.957,45",,,"1.002,02","1.002,02"
03/01/06,"1.007,08",,"5,05","0,50","2.973,23","0,53",,"1.007,08","1.007,08"
03/02/06,"1.004,94",,"-2,14","-0,21","2.967,19","0,33",,"1.004,94","1.004,94"
03/03/06,"1.002,87",,"-2,07","-0,21","2.961,37","0,13",,"1.002,87","1.002,87"
03/06/06,"1.001,67",,"-1,20","-0,12","2.957,94","0,02",,"1.001,67","1.001,67"
03/07/06,"997,78",,"-3,89","-0,39","2.946,53","-0,37",,"997,78","997,78"
03/08/06,"995,33",,"-2,45","-0,25","2.940,93","-0,56",,"995,33","995,33"
03/09/06,"997,64",,"2,30","0,23","2.947,81","-0,33",,"997,64","997,64"
03/10/06,"1.004,42",,"6,78","0,68","2.967,87","0,35",,"1.004,42","1.004,42"
03/13/06,"1.010,41",,"6,00","0,60","2.986,05","0,97",,"1.010,41","1.010,41"
03/14/06,"1.015,33",,"4,92","0,49","3.000,62","1,46",,"1.015,33","1.015,33"
03/15/06,"1.018,89",,"3,56","0,35","3.011,66","1,83",,"1.018,89","1.018,89"
03/16/06,"1.019,11",,"0,22","0,02","3.012,39","1,86",,"1.019,11","1.019,11"
03/17/06,"1.021,47",,"2,36","0,23","3.019,49","2,10",,"1.021,47","1.021,47"
03/20/06,"1.022,98",,"1,51","0,15","3.023,97","2,25",,"1.022,98","1.022,98"
03/21/06,"1.020,00",,"-2,99","-0,29","3.015,17","1,95",,"1.020,00","1.020,00"
03/22/06,"1.023,65",,"3,65","0,36","3.026,59","2,34",,"1.023,65","1.023,65"
03/23/06,"1.021,91",,"-1,74","-0,17","3.021,55","2,17",,"1.021,91","1.021,91"
03/24/06,"1.025,22",,"3,31","0,32","3.031,42","2,50",,"1.025,22","1.025,22"
03/27/06,"1.022,14",,"-3,09","-0,30","3.022,40","2,20",,"1.022,14","1.022,14"
