Price History: MS129867,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
02/28/06,"730,35",,,,"884,57",,,"730,35","730,35"
03/01/06,"735,13",,"4,78","0,65","890,37","0,66",,"735,13","735,13"
03/02/06,"733,95",,"-1,18","-0,16","888,98","0,50",,"733,95","733,95"
03/03/06,"736,64",,"2,68","0,37","892,31","0,88",,"736,64","736,64"
03/06/06,"741,26",,"4,63","0,63","898,08","1,53",,"741,26","741,26"
03/07/06,"737,17",,"-4,09","-0,55","893,12","0,97",,"737,17","737,17"
03/08/06,"736,22",,"-0,95","-0,13","892,13","0,86",,"736,22","736,22"
03/09/06,"737,61",,"1,39","0,19","893,82","1,05",,"737,61","737,61"
03/10/06,"741,97",,"4,35","0,59","899,11","1,64",,"741,97","741,97"
03/13/06,"746,13",,"4,17","0,56","904,16","2,22",,"746,13","746,13"
03/14/06,"749,20",,"3,07","0,41","907,92","2,64",,"749,20","749,20"
03/15/06,"749,06",,"-0,15","-0,02","907,76","2,62",,"749,06","749,06"
03/16/06,"751,88",,"2,82","0,38","911,23","3,01",,"751,88","751,88"
03/17/06,"749,56",,"-2,32","-0,31","908,68","2,73",,"749,56","749,56"
03/20/06,"747,44",,"-2,12","-0,28","906,13","2,44",,"747,44","747,44"
03/21/06,"748,74",,"1,30","0,17","907,73","2,62",,"748,74","748,74"
03/22/06,"750,32",,"1,59","0,21","909,65","2,84",,"750,32","750,32"
03/23/06,"748,53",,"-1,80","-0,24","907,47","2,59",,"748,53","748,53"
03/24/06,"749,20",,"0,68","0,09","908,29","2,68",,"749,20","749,20"
03/27/06,"744,73",,"-4,47","-0,60","902,89","2,07",,"744,73","744,73"
03/28/06,"736,95",,"-7,78","-1,04","894,23","1,09",,"736,95","736,95"
03/29/06,"740,51",,"3,56","0,48","898,73","1,60",,"740,51","740,51"
03/30/06,"740,03",,"-0,48","-0,06","898,15","1,54",,"740,03","740,03"
03/31/06,"736,20",,"-3,83","-0,52","893,51","1,01",,"736,20","736,20"
04/03/06,"738,55",,"2,34","0,32","896,36","1,33",,"738,55","738,55"
04/04/06,"740,07",,"1,52","0,21","898,25","1,55",,"740,07","740,07"
04/05/06,"744,67",,"4,60","0,62","903,84","2,18",,"744,67","744,67"
04/06/06,"742,40",,"-2,27","-0,30","902,23","2,00",,"742,40","742,40"
04/07/06,"737,21",,"-5,20","-0,70","895,91","1,28",,"737,21","737,21"
04/10/06,"738,30",,"1,10","0,15","897,28","1,44",,"738,30","738,30"
04/11/06,"729,09",,"-9,21","-1,25","886,41","0,21",,"729,09","729,09"
04/12/06,"727,32",,"-1,78","-0,24","884,30","-0,03",,"727,32","727,32"
04/13/06,"728,41",,"1,09","0,15","885,96","0,16",,"728,41","728,41"
04/17/06,"727,22",,"-1,19","-0,16","884,51","-0,01",,"727,22","727,22"
04/18/06,"732,41",,"5,19","0,71","891,38","0,77",,"732,41","732,41"
04/19/06,"734,59",,"2,18","0,30","894,04","1,07",,"734,59","734,59"
04/20/06,"735,68",,"1,09","0,15","895,40","1,22",,"735,68","735,68"
04/21/06,"737,52",,"1,84","0,25","897,64","1,48",,"737,52","737,52"
04/24/06,"736,05",,"-1,47","-0,20","897,18","1,43",,"736,05","736,05"
04/25/06,"736,00",,"-0,06","-0,01","897,20","1,43",,"736,00","736,00"
04/26/06,"737,79",,"1,79","0,24","899,67","1,71",,"737,79","737,79"
04/27/06,"739,67",,"1,88","0,26","902,18","1,99",,"739,67","739,67"
04/28/06,"737,86",,"-1,81","-0,25","900,46","1,80",,"737,86","737,86"
05/01/06,"737,99",,"0,13","0,02","900,62","1,81",,"737,99","737,99"
05/02/06,"741,01",,"3,02","0,41","904,46","2,25",,"741,01","741,01"
05/03/06,"737,48",,"-3,53","-0,48","900,31","1,78",,"737,48","737,48"
05/04/06,"739,33",,"1,86","0,25","903,64","2,16",,"739,33","739,33"
05/05/06,"743,14",,"3,81","0,52","910,65","2,95",,"743,14","743,14"
05/08/06,"743,84",,"0,70","0,09","912,70","3,18",,"743,84","743,84"
05/09/06,"745,75",,"1,91","0,26","915,10","3,45",,"745,75","745,75"
05/10/06,"742,78",,"-2,97","-0,40","912,04","3,11",,"742,78","742,78"
05/11/06,"734,79",,"-7,99","-1,08","902,48","2,03",,"734,79","734,79"
05/12/06,"723,36",,"-11,44","-1,56","889,06","0,51",,"723,36","723,36"
05/15/06,"724,33",,"0,97","0,13","890,28","0,65",,"724,33","724,33"
05/16/06,"724,85",,"0,52","0,07","891,12","0,74",,"724,85","724,85"
05/17/06,"711,38",,"-13,46","-1,86","874,60","-1,13",,"711,38","711,38"
05/18/06,"711,14",,"-0,24","-0,03","874,33","-1,16",,"711,14","711,14"
