Price History: 106803,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
02/28/06,,,,,,,,,
03/01/06,,,,,,,,,
03/02/06,,,,,,,,,
03/03/06,,,,,,,,,
03/06/06,,,,,,,,,
03/07/06,,,,,,,,,
03/08/06,,,,,,,,,
03/09/06,,,,,,,,,
03/10/06,,,,,,,,,
03/13/06,,,,,,,,,
03/14/06,,,,,,,,,
03/15/06,,,,,,,,,
03/16/06,,,,,,,,,
03/17/06,,,,,,,,,
03/20/06,,,,,,,,,
03/21/06,,,,,,,,,
03/22/06,,,,,,,,,
03/23/06,,,,,,,,,
03/24/06,,,,,,,,,
03/27/06,,,,,,,,,
03/28/06,,,,,,,,,
03/29/06,,,,,,,,,
03/30/06,,,,,,,,,
03/31/06,,,,,,,,,
04/03/06,,,,,,,,,
04/04/06,,,,,,,,,
04/05/06,,,,,,,,,
04/06/06,,,,,,,,,
04/07/06,,,,,,,,,
04/10/06,,,,,,,,,
04/11/06,,,,,,,,,
04/12/06,,,,,,,,,
04/13/06,,,,,,,,,
04/14/06,,,,,,,,,
04/17/06,,,,,,,,,
04/18/06,,,,,,,,,
04/19/06,,,,,,,,,
04/20/06,,,,,,,,,
04/21/06,,,,,,,,,
04/24/06,,,,,,,,,
04/25/06,,,,,,,,,
04/26/06,,,,,,,,,
04/27/06,,,,,,,,,
04/28/06,"81,36",,"81,36",,"84,15",,,"81,36","81,36"
05/01/06,"80,88",,"-0,48","-0,59","83,65","-0,59",,"80,88","80,88"
05/02/06,"81,16",,"0,28","0,35","83,94","-0,25",,"81,16","81,16"
05/03/06,"80,96",,"-0,20","-0,25","83,75","-0,47",,"80,96","80,96"
05/04/06,"81,38",,"0,42","0,51","84,18","0,04",,"81,38","81,38"
05/05/06,"81,82",,"0,44","0,54","84,64","0,59",,"81,82","81,82"
05/08/06,"81,93",,"0,11","0,13","84,77","0,74",,"81,93","81,93"
05/09/06,"81,50",,"-0,43","-0,52","84,33","0,22",,"81,50","81,50"
05/10/06,"80,52",,"-0,98","-1,20","83,33","-0,97",,"80,52","80,52"
05/11/06,"78,90",,"-1,62","-2,01","81,66","-2,96",,"78,90","78,90"
05/12/06,"78,06",,"-0,85","-1,07","80,78","-4,00",,"78,06","78,06"
05/15/06,"77,90",,"-0,15","-0,20","80,65","-4,16",,"77,90","77,90"
05/16/06,"77,09",,"-0,81","-1,03","79,82","-5,14",,"77,09","77,09"
05/17/06,"76,37",,"-0,72","-0,94","79,07","-6,03",,"76,37","76,37"
05/18/06,"75,84",,"-0,54","-0,70","78,52","-6,69",,"75,84","75,84"
05/19/06,"76,27",,"0,44","0,57","78,97","-6,15",,"76,27","76,27"
05/22/06,"75,51",,"-0,76","-1,00","78,18","-7,08",,"75,51","75,51"
05/23/06,"75,09",,"-0,42","-0,55","77,75","-7,60",,"75,09","75,09"
05/24/06,"75,69",,"0,60","0,80","78,38","-6,85",,"75,69","75,69"
05/25/06,"76,12",,"0,42","0,56","78,82","-6,33",,"76,12","76,12"
05/26/06,"76,82",,"0,70","0,92","79,55","-5,47",,"76,82","76,82"
05/29/06,"76,76",,"-0,06","-0,08","79,49","-5,54",,"76,76","76,76"
05/30/06,"75,36",,"-1,40","-1,82","78,04","-7,26",,"75,36","75,36"
05/31/06,"75,22",,"-0,14","-0,19","77,89","-7,44",,"75,22","75,22"
06/01/06,"76,31",,"1,09","1,45","79,02","-6,09",,"76,31","76,31"
06/02/06,"76,29",,"-0,02","-0,03","79,00","-6,12",,"76,29","76,29"
06/05/06,"74,99",,"-1,30","-1,70","77,66","-7,71",,"74,99","74,99"
06/06/06,"74,42",,"-0,58","-0,77","77,06","-8,42",,"74,42","74,42"
06/07/06,"73,51",,"-0,91","-1,22","76,13","-9,53",,"73,51","73,51"
06/08/06,"72,56",,"-0,95","-1,29","75,15","-10,70",,"72,56","72,56"
06/09/06,"72,58",,"0,02","0,02","75,16","-10,68",,"72,58","72,58"
06/12/06,"71,47",,"-1,11","-1,53","74,02","-12,03",,"71,47","71,47"
06/13/06,"70,75",,"-0,72","-1,01","73,28","-12,92",,"70,75","70,75"
06/14/06,"71,42",,"0,67","0,95","73,97","-12,09",,"71,42","71,42"
06/15/06,"73,39",,"1,96","2,75","76,01","-9,67",,"73,39","73,39"
06/16/06,"73,40",,"0,02","0,02","76,03","-9,65",,"73,40","73,40"
06/19/06,"73,30",,"-0,10","-0,14","75,92","-9,77",,"73,30","73,30"
06/20/06,"73,03",,"-0,27","-0,37","75,64","-10,11",,"73,03","73,03"
06/21/06,"73,93",,"0,90","1,23","76,57","-9,00",,"73,93","73,93"
06/22/06,"73,51",,"-0,42","-0,57","76,14","-9,52",,"73,51","73,51"
06/23/06,"73,34",,"-0,16","-0,22","75,97","-9,72",,"73,34","73,34"
06/26/06,"73,55",,"0,20","0,28","76,18","-9,47",,"73,55","73,55"
06/27/06,"72,60",,"-0,95","-1,29","75,20","-10,63",,"72,60","72,60"
06/28/06,"72,67",,"0,07","0,10","75,28","-10,53",,"72,67","72,67"
06/29/06,"74,42",,"1,75","2,40","77,09","-8,38",,"74,42","74,42"
06/30/06,"74,35",,"-0,07","-0,10","77,02","-8,47",,"74,35","74,35"
07/03/06,"75,06",,"0,72","0,96","77,76","-7,59",,"75,06","75,06"
07/04/06,"75,25",,"0,19","0,26","77,96","-7,35",,"75,25","75,25"
07/05/06,"74,06",,"-1,20","-1,59","76,72","-8,82",,"74,06","74,06"
07/06/06,"74,13",,"0,07","0,09","76,80","-8,73",,"74,13","74,13"
07/07/06,"73,25",,"-0,88","-1,19","75,89","-9,82",,"73,25","73,25"
07/10/06,"72,67",,"-0,58","-0,79","75,29","-10,52",,"72,67","72,67"
07/11/06,"72,68",,"0,00","0,01","75,30","-10,52",,"72,68","72,68"
07/12/06,"71,35",,"-1,33","-1,83","73,92","-12,16",,"71,35","71,35"
07/13/06,"70,06",,"-1,29","-1,80","72,59","-13,74",,"70,06","70,06"
07/14/06,"69,56",,"-0,50","-0,71","72,07","-14,35",,"69,56","69,56"
07/17/06,"69,69",,"0,13","0,19","72,20","-14,19",,"69,69","69,69"
07/18/06,"69,62",,"-0,07","-0,10","72,13","-14,28",,"69,62","69,62"
07/19/06,"70,65",,"1,02","1,47","73,19","-13,02",,"70,65","70,65"
07/20/06,"70,17",,"-0,47","-0,67","72,70","-13,60",,"70,17","70,17"
07/21/06,"69,19",,"-0,99","-1,41","71,68","-14,82",,"69,19","69,19"
07/24/06,"70,20",,"1,01","1,47","72,73","-13,57",,"70,20","70,20"
07/25/06,"70,65",,"0,45","0,64","73,20","-13,01",,"70,65","70,65"
07/26/06,"70,49",,"-0,16","-0,23","73,03","-13,22",,"70,49","70,49"
07/27/06,"70,45",,"-0,03","-0,05","72,99","-13,25",,"70,45","70,45"
07/28/06,"71,75",,"1,30","1,84","74,34","-11,65",,"71,75","71,75"
07/31/06,"71,77",,"0,01","0,02","74,35","-11,64",,"71,77","71,77"
08/01/06,"70,69",,"-1,07","-1,49","73,25","-12,95",,"70,69","70,69"
08/02/06,"71,23",,"0,54","0,76","73,81","-12,29",,"71,23","71,23"
08/03/06,"71,58",,"0,35","0,49","74,19","-11,84",,"71,58","71,58"
08/04/06,"71,42",,"-0,16","-0,23","74,02","-12,04",,"71,42","71,42"
08/07/06,"70,80",,"-0,62","-0,87","73,37","-12,80",,"70,80","70,80"
08/08/06,"70,75",,"-0,05","-0,06","73,34","-12,84",,"70,75","70,75"
08/09/06,"71,38",,"0,62","0,88","73,99","-12,07",,"71,38","71,38"
08/10/06,"71,67",,"0,30","0,42","74,30","-11,70",,"71,67","71,67"
08/11/06,"71,17",,"-0,50","-0,70","73,78","-12,32",,"71,17","71,17"
08/14/06,"72,07",,"0,90","1,26","74,71","-11,22",,"72,07","72,07"
08/15/06,"73,76",,"1,70","2,35","76,49","-9,09",,"73,76","73,76"
08/16/06,"75,33",,"1,57","2,12","78,12","-7,16",,"75,33","75,33"
08/17/06,"75,67",,"0,34","0,45","78,47","-6,74",,"75,67","75,67"
08/18/06,"75,99",,"0,32","0,43","78,81","-6,34",,"75,99","75,99"
08/21/06,"75,25",,"-0,75","-0,98","78,04","-7,26",,"75,25","75,25"
08/22/06,"75,41",,"0,16","0,21","78,20","-7,06",,"75,41","75,41"
08/23/06,"75,00",,"-0,41","-0,55","77,79","-7,56",,"75,00","75,00"
08/24/06,"75,10",,"0,10","0,13","77,89","-7,44",,"75,10","75,10"
08/25/06,"75,24",,"0,14","0,18","78,03","-7,27",,"75,24","75,24"
08/28/06,"75,75",,"0,51","0,68","78,56","-6,64",,"75,75","75,75"
08/29/06,"76,28",,"0,53","0,70","79,11","-5,98",,"76,28","76,28"
08/30/06,"76,99",,"0,72","0,94","79,85","-5,10",,"76,99","76,99"
08/31/06,"76,98",,"-0,02","-0,02","79,84","-5,12",,"76,98","76,98"
09/01/06,"77,16",,"0,18","0,23","80,02","-4,90",,"77,16","77,16"
09/04/06,"77,38",,"0,22","0,29","80,26","-4,62",,"77,38","77,38"
09/05/06,"77,62",,"0,24","0,31","80,51","-4,32",,"77,62","77,62"
09/06/06,"76,26",,"-1,36","-1,76","79,09","-6,00",,"76,26","76,26"
09/07/06,"75,58",,"-0,68","-0,90","78,39","-6,84",,"75,58","75,58"
09/08/06,"76,25",,"0,68","0,89","79,09","-6,01",,"76,25","76,25"
09/11/06,"76,58",,"0,33","0,43","79,44","-5,59",,"76,58","76,58"
09/12/06,"77,85",,"1,27","1,66","80,76","-4,03",,"77,85","77,85"
09/13/06,"78,13",,"0,28","0,36","81,05","-3,67",,"78,13","78,13"
09/14/06,"78,30",,"0,17","0,22","81,24","-3,46",,"78,30","78,30"
09/15/06,"78,47",,"0,17","0,22","81,42","-3,25",,"78,47","78,47"
09/18/06,"78,44",,"-0,03","-0,04","81,38","-3,28",,"78,44","78,44"
09/19/06,"77,97",,"-0,47","-0,60","80,90","-3,86",,"77,97","77,97"
09/20/06,"78,92",,"0,95","1,21","81,88","-2,69",,"78,92","78,92"
09/21/06,"78,40",,"-0,52","-0,66","81,34","-3,33",,"78,40","78,40"
09/22/06,"77,75",,"-0,65","-0,83","80,67","-4,13",,"77,75","77,75"
09/25/06,"78,70",,"0,95","1,22","81,66","-2,96",,"78,70","78,70"
09/26/06,"79,25",,"0,54","0,69","82,26","-2,24",,"79,25","79,25"
09/27/06,"79,42",,"0,17","0,22","82,44","-2,03",,"79,42","79,42"
09/28/06,"79,87",,"0,45","0,56","82,90","-1,48",,"79,87","79,87"
09/29/06,"79,65",,"-0,21","-0,27","82,68","-1,74",,"79,65","79,65"
10/02/06,"79,40",,"-0,26","-0,32","82,41","-2,06",,"79,40","79,40"
10/03/06,"79,39",,"0,00","0,00","82,41","-2,06",,"79,39","79,39"
10/04/06,"80,54",,"1,15","1,44","83,60","-0,65",,"80,54","80,54"
10/05/06,"80,85",,"0,31","0,39","83,93","-0,26",,"80,85","80,85"
10/06/06,"80,66",,"-0,20","-0,24","83,72","-0,50",,"80,66","80,66"
10/09/06,"80,90",,"0,24","0,30","83,97","-0,20",,"80,90","80,90"
10/10/06,"81,08",,"0,18","0,22","84,16","0,02",,"81,08","81,08"
10/11/06,"81,18",,"0,11","0,13","84,28","0,16",,"81,18","81,18"
