Price History: STIBOR3M-FDS;;;;;
;;;;;
Date;Yield;Change;% Change;Total Return (Gross);Cumulative Return %
01-30-09;2,03;;;2,03;
02-27-09;1,23;-0,80;-39,51;1,23;-39,51
03-31-09;1,13;-0,10;-8,39;1,13;-44,58
04-30-09;0,94;-0,19;-16,89;0,94;-53,94
05-29-09;0,95;0,01;1,60;0,95;-53,20
06-30-09;0,95;;;0,95;-53,20
07-31-09;0,62;-0,33;-34,95;0,62;-69,56
08-31-09;0,61;-0,01;-1,29;0,61;-69,95
09-30-09;0,53;-0,08;-13,93;0,53;-74,14
10-30-09;0,48;-0,04;-8,00;0,48;-76,21
11-30-09;0,48;-0,01;-1,04;0,48;-76,45
12-31-09;0,48;0,01;1,05;0,48;-76,21
01-29-10;0,48;-0,01;-1,04;0,48;-76,45
02-26-10;0,48;0,01;1,05;0,48;-76,21
03-31-10;0,51;0,03;5,18;0,51;-74,98
04-30-10;0,55;0,04;8,27;0,55;-72,91
05-28-10;0,65;0,09;17,27;0,65;-68,23
06-30-10;0,79;0,14;22,17;0,79;-61,18
07-30-10;0,93;0,14;17,39;0,93;-54,43
08-31-10;1,06;0,13;14,05;1,06;-48,03
09-30-10;1,28;0,23;21,33;1,28;-36,95
10-29-10;1,54;0,26;20,55;1,54;-23,99
11-30-10;1,69;0,14;9,20;1,69;-17,00
12-31-10;1,95;0,26;15,73;1,95;-3,94
01-31-11;2,08;0,13;6,67;2,08;2,46
02-28-11;2,33;0,25;12,02;2,33;14,78
03-31-11;2,39;0,06;2,70;2,39;17,88
04-29-11;2,45;0,06;2,51;2,45;20,84
05-31-11;2,45;0,00;-0,12;2,45;20,69
06-30-11;2,49;0,03;1,43;2,49;22,41
07-29-11;2,58;0,10;3,82;2,58;27,09
08-31-11;2,58;;;2,58;27,09
09-30-11;2,51;-0,07;-2,60;2,51;23,79
10-31-11;2,56;0,04;1,67;2,56;25,86
11-30-11;2,67;0,11;4,50;2,67;31,53
12-30-11;2,64;-0,03;-1,12;2,64;30,05
01-31-12;2,57;-0,07;-2,65;2,57;26,60
02-29-12;2,35;-0,22;-8,56;2,35;15,76
03-30-12;2,27;-0,08;-3,62;2,27;11,58
04-30-12;2,17;-0,10;-4,28;2,17;6,80
05-31-12;2,13;-0,04;-1,66;2,13;5,02
06-29-12;2,14;0,00;0,19;2,14;5,22
07-31-12;2,09;-0,05;-2,15;2,09;2,96
08-31-12;1,93;-0,16;-7,66;1,93;-4,93
09-28-12;1,59;-0,34;-17,51;1,59;-21,58
10-31-12;1,49;-0,11;-6,66;1,49;-26,80
11-30-12;1,43;-0,05;-3,63;1,43;-29,46
12-31-12;1,29;-0,14;-10,06;1,29;-36,55
