Symbol;Name;Stock Exchange;Sec Type;Date of first trade ;Date (RT Last);Avg Daily Price (LOCAL);Curncy Iso;Market Value in millions ;FR RBICS Name Sector;ISIN;Average Daily Volume;Trading Value Local;Trading Value EUR;Filter;FE Ticker
400193;Aarhus United AS;OMX NORDIC COPENHAGEN;SHARE;02-01-1985;11-11-2005;;DKK;;Food and Tobacco Production;DK0010013960;;;;FJERN;AARUTD-DK
400288;Asg B;OMX NORDIC STOCKHOLM;SHARE;25-07-1991;21-12-1999;;SEK;;Industrial Services;SE0000141160;;;;FJERN;
400300;Aars Bank Dkk5;OMX NORDIC COPENHAGEN;SHARE;22-01-1990;21-05-2001;;DKK;;Banking;DK0010134162;;;;FJERN;
401191;Klippan Ab Sek5;OMX NORDIC STOCKHOLM;SHARE;04-11-1994;05-05-2006;;SEK;;Manufactured Products;SE0000254567;;;;FJERN;KLIP-SE
401458;Alfa-Laval Cl A AB;OMX NORDIC STOCKHOLM;SHARE;13-09-1989;13-06-1991;;SEK;;Industrial Manufacturing;SE0000100307;;;;FJERN;
401461;Alfa-Laval Cl B AB;OMX NORDIC STOCKHOLM;SHARE;02-01-1985;06-08-1991;;SEK;;Industrial Manufacturing;CH0006132168;;;;FJERN;
401853;Green Wind Energy AS;OMX NORDIC COPENHAGEN;SHARE;25-08-1992;31-05-2011;6,2;DKK;;Utilities;DK0060159994;22.376,9;137786,7574;18494,86677;FJERN;GW-DK
401878;CellaVision AB;OMX NORDIC STOCKHOLM;SHARE;28-05-2007;13-05-2026;143,5;SEK;3.749,5;Healthcare Equipment;SE0000683484;45.267,0;6497299,037;574982,2157;BEHOLD;CEVI-SE
402033;Allgon B;OMX NORDIC STOCKHOLM;SHARE;01-03-1990;17-04-2003;;SEK;;Hardware;SE0000100364;;;;FJERN;
402231;Albani Bryggeriern Ser'A'Dkk100;OMX NORDIC COPENHAGEN;SHARE;02-09-1991;10-10-2001;;DKK;;Food and Tobacco Production;DK0010174119;;;;FJERN;
